age,monthly_revenue,debt_ratio,rated_exposure,serious_delinquencies_in_past_2_years,composite_overdue
64,8158.0,0.249908,0.0,0,0
58,5166.0,3870.0,0.0,0,0
41,6666.0,0.456127,0.0,0,0
43,10500.0,0.00019,2.0,0,0
49,400.0,0.27182,0.0,1,0
55,8934.0,0.324678,0.0,0,0
25,2200.0,0.473421,0.0,0,0
31,4076.0,0.017415,0.0,1,0
37,7166.0,0.23371,0.0,1,60
55,3750.0,0.420954,0.0,0,0
53,3500.0,0.33162,0.0,1,630
57,16000.0,0.337166,0.0,0,0
39,9116.0,0.961171,1.0,1,300
61,5900.0,0.549059,1.0,0,0
78,5166.0,888.0,0.0,0,0
58,5166.0,1328.0,2.0,0,0
30,2904.0,0.417556,0.0,0,0
27,5166.0,10.0,0.7896281800391389,0,0
60,9106.0,0.386186,1.0,0,0
26,6500.0,0.07322,0.0,0,60
56,5000.0,0.494101,0.0,0,0
57,15600.0,0.257227,0.0,0,0
31,5500.0,0.463007,1.0,0,0
62,8577.0,0.372231,2.0,0,0
50,8038.0,0.582908,2.0,0,0
42,5166.0,1296.0,0.0,1,90
81,5899.0,0.000678,0.0,0,0
80,1600.0,0.0,0.0,0,0
73,29133.0,0.111416,0.0,0,0
59,5166.0,3252.0,0.0,1,240
41,5166.0,1421.0,0.0,0,30
30,5166.0,1513.0,0.0,0,0
48,8609.0,0.402904,4.0,1,0
55,5166.0,805.0,0.0,0,0
29,9000.0,0.224753,0.0,0,0
69,5166.0,5089.0,0.0,0,30
39,12900.0,0.388264,2.0,1,30
47,5166.0,2078.0,0.0,1,150
50,4200.0,0.420138,3.0,0,0
25,1547.0,0.020672,1.0,0,0
42,1000.0,2.644356,1.0,1,0
37,14500.0,0.335494,0.0,0,0
71,5166.0,1419.0,0.7896281800391389,0,0
62,2734.0,0.434735,0.0,1,0
59,2515.0,2.094595,0.0,0,0
58,2500.0,0.145142,0.0,1,120
61,7085.0,0.0,1.0,0,0
43,3000.0,1.416861,0.0,1,0
64,4811.0,0.368246,0.0,0,60
47,5000.0,0.504299,2.0,1,300
58,7916.0,0.19515,1.0,1,120
78,2397.0,0.006672,0.0,0,0
51,36000.0,0.0045,0.0,1,60
66,4780.0,0.417904,0.0,1,60
31,2928.0,0.136907,0.0,0,0
78,2220.0,0.008555,0.0,0,0
56,5166.0,126.0,0.0,0,90
83,4250.0,0.146319,0.0,0,0
41,9500.0,0.163562,2.0,1,60
52,8100.0,0.001852,0.0,0,0
57,1800.0,0.823987,0.0,0,0
25,3146.0,0.182396,2.0,0,0
48,5166.0,3082.0,0.0,1,450
53,13016.0,0.381117,4.0,1,30
67,4200.0,1.41014,0.0,1,510
39,10846.0,0.468056,1.0,0,0
56,5166.0,2132.0,0.0,1,0
45,5920.0,0.432022,4.0,0,0
39,4583.0,0.545593,0.0,0,0
68,10833.0,0.255769,0.0,0,0
59,11593.0,0.350526,1.0,0,0
54,5166.0,953.0,0.0,0,0
63,6900.0,0.134183,0.0,0,30
39,2000.0,1.664668,0.0,0,0
59,596.0,0.835846,0.0,0,120
54,5166.0,1762.0,1.0,1,60
37,12000.0,0.31564,2.0,0,0
28,5166.0,68.0,0.7896281800391389,1,0
40,4643.0,0.09087,2.0,0,0
54,3026.0,0.268913,1.0,1,90
41,3000.0,0.19027,1.0,1,540
60,5166.0,40.0,0.0,0,0
31,2600.0,0.134179,0.0,0,0
51,1450.0,1.11785,1.0,0,0
60,4550.0,0.426719,0.0,0,0
51,18833.0,0.31613,0.0,0,0
69,0.0,1248.0,1.0,0,0
58,5166.0,54.0,0.0,0,0
66,3175.0,0.264484,0.0,0,0
65,2423.0,1.403465,0.0,1,90
86,5166.0,18.0,0.0,0,0
40,4868.0,0.405833,2.0,1,120
51,3785.0,0.287639,0.0,1,150
33,6500.0,0.067374,2.0,0,0
45,7000.0,0.611056,1.0,0,30
45,6666.0,0.635668,2.0,0,30
32,4033.0,0.507437,0.0,1,30
58,4400.0,0.95342,1.0,0,0
61,1950.0,0.646335,0.0,0,0
